user_id,username,full_name,department,role,location,hostname,device_id,status,hire_date,termination_date,manager_username,user_id_clean,username_clean,full_name_clean,manager_username_clean,department_clean,role_clean,location_clean,hostname_clean,device_id_clean,hire_date_clean,termination_date_clean,status_clean,is_terminated,total_iam_events,failed_logins,mfa_failures,avg_iam_risk,max_iam_risk,tampered_iam_ips,total_alerts,critical_alerts,high_alerts,active_alerts,temporal_anomalies,high_threat_alerts,max_severity_score,total_fw_events,denied_fw_events,tampered_fw_ips,threat_flagged_fw,total_bytes_transferred,identity_risk_score,access_risk_score,endpoint_risk_score,network_risk_score,composite_threat_score,threat_tier,is_terminated_active_breach,is_brute_force_suspect,is_tampering_suspect,is_ml_anomaly,anomaly_score,behavior_cluster
EMP12802,  fariq.sanghvi8  ,Fariq Sanghvi,Business Sales,Specialist,DATA CENTER,WS-12802,dev 44556,Disabled,2024-04-12 04:39:17,,,EMP12802,fariq.sanghvi8,Fariq Sanghvi,none,Sales,Specialist,Data Center,WS-12802,DEV-44556,2024-04-12 04:39:17,,TERMINATED,True,11,2,0,40.45454545454545,100.0,5,4,0,1,3,1,4,75.0,9,2,6,1,176852299.0,100.0,99.5,100.0,63.89,92.7,CRITICAL,True,False,True,False,0.444,Zero-Trust Deprovisioning Breaches
EMP 11328,krish.gill29,Krish Gill,Innovation,Administrator,Remote,VDR-11328,,Resigned,2022-01-28 17:18:13,,MANAGER654,EMP11328,krish.gill29,Krish Gill,manager654,Innovation,Administrator,Remote / WFH,VDR-11328,,2022-01-28 17:18:13,,TERMINATED,True,10,3,0,41.6,92.0,6,4,0,1,3,0,2,75.0,9,3,8,1,419879800.0,100.0,96.0,100.0,68.33,92.7,CRITICAL,True,False,True,False,0.43,High IAM / Failed Login Surge
emp10041,,Faris Randhawa,Purchase,Executive,Branch_Office,LPT-10041,dev33206,Resigned,2020-03-18T00:12:19,14-Jan-2023 01:44:55,unknown,EMP10041,unknown,Faris Randhawa,unknown,Purchase,Executive,Branch Office,LPT-10041,DEV-33206,2020-03-18 00:12:19,2023-01-14 01:44:55,TERMINATED,True,8,1,1,69.75,100.0,3,7,0,2,5,0,4,75.0,7,1,7,2,290804216.0,100.0,88.5,100.0,75.71,92.3,CRITICAL,True,False,True,False,0.439,High IAM / Failed Login Surge
EMP12716,lakshmi.sen22,Lakshmi Sen,SALES,Administrator,Remote,WS-12716,dev 53940,Disabled,04-05-2024 12:00:42 PM,05-07-2025 10:48:06 AM,manager879,EMP12716,lakshmi.sen22,Lakshmi Sen,manager879,Sales,Administrator,Remote / WFH,WS-12716,DEV-53940,2024-05-04 12:00:42,2025-07-05 10:48:06,TERMINATED,True,3,3,0,70.66666666666667,94.0,3,4,1,0,2,0,2,100.0,13,2,10,3,552053246.0,100.0,87.5,100.0,76.15,92.1,CRITICAL,True,False,True,False,0.454,High IAM / Failed Login Surge
EMP12762,nathaniel.jhaveri55,Nathaniel Jhaveri,Marketing,Officer,Work From Home,LPT-12762,DEV-79833,Disabled,2023-02-14 21:39:51,22-Apr-2024 08:28:23,manager348,EMP12762,nathaniel.jhaveri55,Nathaniel Jhaveri,manager348,Marketing,Officer,Remote / WFH,LPT-12762,DEV-79833,2023-02-14 21:39:51,2024-04-22 08:28:23,TERMINATED,True,14,8,3,40.0,100.0,6,7,0,0,6,0,4,50.0,12,6,9,0,406237358.0,100.0,100.0,100.0,60.0,92.0,CRITICAL,True,True,True,True,0.573,Active EDR / Malware Threats
EMP10281,wazir.tak22,Wazir Tak,People Team,Trainee,work from home,ws-10281,dev 94529,Blocked,10-24-2024 01:19:41 AM,,,EMP10281,wazir.tak22,Wazir Tak,none,People Team,Trainee,Remote / WFH,WS-10281,DEV-94529,2024-10-24 01:19:41,,TERMINATED,True,8,1,1,39.75,70.0,5,4,2,0,2,0,3,100.0,11,2,9,2,408365256.0,100.0,85.0,100.0,77.27,91.7,CRITICAL,True,False,True,True,0.557,High IAM / Failed Login Surge
EMP11739,edhitha.bala97,Edhitha Bala,customer care,Executive,Head Office,ws-11739,dev 76368,Left,,16/01/2026,manager951,EMP11739,edhitha.bala97,Edhitha Bala,manager951,Customer Care,Executive,Head Office,WS-11739,DEV-76368,,2026-01-16 00:00:00,TERMINATED,True,9,1,0,64.0,100.0,5,5,0,0,3,0,3,50.0,11,3,8,1,409161430.0,100.0,93.5,100.0,65.91,91.6,CRITICAL,True,False,True,False,0.397,High IAM / Failed Login Surge
EMP11420,ayush.yogi99,Ayush Yogi,Ops,Director,Branch Office,VDR-11420,dev83373,Terminated,16-Aug-2021 08:48:01,23/02/2023,,EMP11420,ayush.yogi99,Ayush Yogi,none,Operations,Director,Branch Office,VDR-11420,DEV-83373,2021-08-16 08:48:01,2023-02-23 00:00:00,TERMINATED,True,6,2,1,39.833333333333336,100.0,3,4,0,1,4,0,2,75.0,8,2,5,1,195586190.0,100.0,94.5,100.0,65.0,91.6,CRITICAL,True,False,True,False,0.417,High IAM / Failed Login Surge
EMP11811,ISHANI.BHARDWAJ87,Ishani Bhardwaj,Legal,Officer,WAREHOUSE,VDR-11811.corp.local,DEV62939,Resigned,20-Dec-2023 17:43:28,,unknown,EMP11811,ishani.bhardwaj87,Ishani Bhardwaj,unknown,Legal,Officer,Warehouse,VDR-11811,DEV-62939,2023-12-20 17:43:28,,TERMINATED,True,3,1,1,39.666666666666664,75.0,3,3,1,1,2,0,1,100.0,14,6,13,2,458725332.0,100.0,76.0,100.0,87.14,91.4,CRITICAL,True,False,True,True,0.533,High IAM / Failed Login Surge
10771,wriddhish.sachar57,Wriddhish Sachar,IT,Administrator,Branch Office,LPT-10771.corp.local,dev 12888,Exited,2021-12-22T19:38:09,2026-05-25T05:20:50,manager521,EMP10771,wriddhish.sachar57,Wriddhish Sachar,manager521,Engineering,Administrator,Branch Office,LPT-10771,DEV-12888,2021-12-22 19:38:09,2026-05-25 05:20:50,TERMINATED,True,9,3,0,42.77777777777778,100.0,5,3,0,2,1,0,3,75.0,7,3,4,0,316136496.0,100.0,100.0,100.0,57.14,91.4,CRITICAL,True,False,True,False,0.43,High IAM / Failed Login Surge
EMP10671,,Harinakshi Mukhopadhyay,hr dept,Consultant,work from home,LPT-10671,DEV36489,L,2023/10/10,2025-10-29 13:10:57,,EMP10671,unknown,Harinakshi Mukhopadhyay,none,Human Resources,Consultant,Remote / WFH,LPT-10671,DEV-36489,2023-10-10 00:00:00,2025-10-29 13:10:57,TERMINATED,True,7,1,0,28.285714285714285,82.0,5,4,1,1,3,0,1,100.0,13,2,11,2,427790669.0,100.0,84.5,100.0,76.15,91.4,CRITICAL,True,False,True,False,0.428,High IAM / Failed Login Surge
emp_10994,GAURAV.KONDA64,Gaurav Konda,RD,Administrator,Warehouse,WS_10994,DEV-93637,Exited,2024/12/19,29-May-2025 07:22:50,manager307,EMP10994,gaurav.konda64,Gaurav Konda,manager307,Rd,Administrator,Warehouse,WS-10994,DEV-93637,2024-12-19 00:00:00,2025-05-29 07:22:50,TERMINATED,True,10,1,1,49.2,87.0,5,4,0,0,4,2,3,50.0,9,2,5,1,319456807.0,100.0,93.5,100.0,63.89,91.2,CRITICAL,True,False,True,True,0.501,Zero-Trust Deprovisioning Breaches
EMP 10099,dev.kanda57,Dev Kanda,RnD,Manager,head office,VDR-10099.corp.local,,Disabled,2026-01-14T05:14:36,2026/08/16,manager517,EMP10099,dev.kanda57,Dev Kanda,manager517,R&D,Manager,Head Office,VDR-10099,,2026-01-14 05:14:36,2026-08-16 00:00:00,TERMINATED,True,8,2,1,32.125,94.0,5,6,2,1,6,0,3,100.0,8,1,4,1,242615651.0,100.0,97.0,100.0,60.0,91.2,CRITICAL,True,False,True,True,0.563,High IAM / Failed Login Surge
EMP11459,yagnesh.solanki69,Yagnesh Solanki,Legal,Manager,Branch_Office,lpt-11459,,Left,,25/03/2026 01:44,manager729,EMP11459,yagnesh.solanki69,Yagnesh Solanki,manager729,Legal,Manager,Branch Office,LPT-11459,,,2026-03-25 01:44:00,TERMINATED,True,5,4,1,75.2,100.0,3,3,0,1,2,0,2,75.0,5,1,3,2,179469982.0,100.0,100.0,90.0,68.0,91.1,CRITICAL,True,True,True,False,0.466,High IAM / Failed Login Surge
EMP12338,geetika.biswas80,Geetika Biswas,operations dept,Engineer,REMOTE,VDR-12338,DEV-16463,Left,22-Jan-2022 14:57:34,2026-02-18T04:00:50,,EMP12338,geetika.biswas80,Geetika Biswas,none,Operations,Engineer,Remote / WFH,VDR-12338,DEV-16463,2022-01-22 14:57:34,2026-02-18 04:00:50,TERMINATED,True,8,3,0,30.875,82.0,4,4,1,1,2,0,4,100.0,13,4,12,1,463142835.0,100.0,89.0,100.0,67.31,90.7,CRITICAL,True,False,True,False,0.473,High IAM / Failed Login Surge
EMP-10821,LIBNI.AURORA70,Libni Aurora,customer care,Analyst,,LPT-10821,DEV-66414,Exited,05-Jan-2021 03:16:58,2023/09/09,,EMP10821,libni.aurora70,Libni Aurora,none,Customer Care,Analyst,Head Office,LPT-10821,DEV-66414,2021-01-05 03:16:58,2023-09-09 00:00:00,TERMINATED,True,4,1,0,49.0,97.0,3,6,0,0,6,0,3,50.0,10,3,4,4,414744108.0,100.0,77.0,100.0,82.0,90.6,CRITICAL,True,False,True,False,0.417,High IAM / Failed Login Surge
EMP-11152,tanmayi.dara69,Tanmayi Dara,Supply Chain,Manager,REGIONAL OFFICE,VDR-11152,DEV60067,Exited,10-Mar-2022 13:02:46,,MANAGER664,EMP11152,tanmayi.dara69,Tanmayi Dara,manager664,Supply Chain,Manager,Regional Office,VDR-11152,DEV-60067,2022-03-10 13:02:46,,TERMINATED,True,7,3,0,45.142857142857146,86.0,3,4,0,3,3,0,3,75.0,9,4,7,1,278494884.0,100.0,83.5,100.0,72.78,90.4,CRITICAL,True,False,True,False,0.441,High IAM / Failed Login Surge
EMP-11973,edhitha.pathak81,Edhitha Pathak,R&D,Director,work from home,VDR-11973.corp.local,dev 94430,Left,,,,EMP11973,edhitha.pathak81,Edhitha Pathak,none,R&D,Director,Remote / WFH,VDR-11973,DEV-94430,,,TERMINATED,True,6,1,0,46.166666666666664,100.0,5,6,0,0,5,0,4,50.0,6,3,4,0,183021302.0,100.0,93.5,100.0,60.0,90.4,CRITICAL,True,False,True,False,0.394,High IAM / Failed Login Surge
11376,matthew.dalal24,Matthew Dalal,R&D,Administrator,BRANCH OFFICE,LPT-11376.corp.local,,LEFT,23/05/2024 02:34,not available,manager103,EMP11376,matthew.dalal24,Matthew Dalal,manager103,R&D,Administrator,Branch Office,LPT-11376,,2024-05-23 02:34:00,,TERMINATED,True,9,1,1,51.111111111111114,100.0,7,7,0,3,6,0,5,75.0,10,3,9,0,287275006.0,100.0,100.0,100.0,52.0,90.4,CRITICAL,True,False,True,False,0.432,High IAM / Failed Login Surge
EMP11004,yamini.baral97,Yamini Baral,Research and Development,Trainee,REMOTE,LPT-11004,DEV-51035,DISABLED,2023-08-25 05:07:16,13/08/2026 10:15,manager549,EMP11004,yamini.baral97,Yamini Baral,manager549,R&D,Trainee,Remote / WFH,LPT-11004,DEV-51035,2023-08-25 05:07:16,2026-08-13 10:15:00,TERMINATED,True,5,4,1,65.0,100.0,3,4,0,1,3,0,2,75.0,7,2,7,0,278962964.0,100.0,100.0,100.0,51.43,90.3,CRITICAL,True,True,True,False,0.456,High IAM / Failed Login Surge
EMP10297,  simon.dara84  ,Simon Dara,Supply Chain,Executive,REMOTE,WS-10297,dev 89064,Left,,21/03/2023 22:10,,EMP10297,simon.dara84,Simon Dara,none,Supply Chain,Executive,Remote / WFH,WS-10297,DEV-89064,,2023-03-21 22:10:00,TERMINATED,True,5,2,0,43.6,84.0,4,2,1,0,2,1,2,100.0,5,2,5,1,165480991.0,100.0,84.0,100.0,71.0,90.2,CRITICAL,True,False,True,False,0.478,Zero-Trust Deprovisioning Breaches
emp_12179,bhavika_naidu97,Bhavika Naidu,Business Sales,Officer,,WS-12179,,D,13/04/2022,07/12/2025,,EMP12179,bhavika_naidu97,Bhavika Naidu,none,Sales,Officer,Head Office,WS-12179,,2022-04-13 00:00:00,2025-12-07 00:00:00,TERMINATED,True,7,0,0,45.285714285714285,100.0,4,3,0,1,3,0,2,75.0,13,2,10,2,360376147.0,100.0,80.0,100.0,76.15,90.2,CRITICAL,True,False,True,False,0.4,High IAM / Failed Login Surge
EMP10097,advik.raj99,Advik Raj,LEGAL,Officer,,LPT-10097,DEV-96200,Exited,06/12/2023 07:27,22/09/2024,manager737,EMP10097,advik.raj99,Advik Raj,manager737,Legal,Officer,Head Office,LPT-10097,DEV-96200,2023-12-06 07:27:00,2024-09-22 00:00:00,TERMINATED,True,4,2,1,31.75,99.0,1,4,1,0,3,0,2,100.0,6,1,5,2,154036060.0,100.0,79.0,100.0,76.67,90.1,CRITICAL,True,False,True,False,0.472,High IAM / Failed Login Surge
emp12781,,Rachit Dugal,Information Technology,Consultant,Data Center,VDR-12781,dev27263,Resigned,21-Sep-2020 15:06:47,10-29-2023 01:51:21 AM,manager102,EMP12781,unknown,Rachit Dugal,manager102,Engineering,Consultant,Data Center,VDR-12781,DEV-27263,2020-09-21 15:06:47,2023-10-29 01:51:21,TERMINATED,True,11,3,1,59.09090909090909,100.0,4,4,0,0,2,1,2,50.0,12,3,10,0,525449421.0,100.0,100.0,100.0,50.0,90.0,CRITICAL,True,False,True,False,0.498,Zero-Trust Deprovisioning Breaches
emp12725,gunbir.viswanathan52,Gunbir Viswanathan,Support,Manager,remote,vdr-12725,dev 48919,LEFT,27-Sep-2020 16:43:42,21/02/2025 14:30,manager684,EMP12725,gunbir.viswanathan52,Gunbir Viswanathan,manager684,Support,Manager,Remote / WFH,VDR-12725,DEV-48919,2020-09-27 16:43:42,2025-02-21 14:30:00,TERMINATED,True,6,2,0,52.166666666666664,100.0,3,2,1,1,2,0,1,100.0,11,4,9,1,252614951.0,100.0,84.5,100.0,69.55,90.0,CRITICAL,True,False,True,False,0.447,High IAM / Failed Login Surge
EMP12687,garima.narasimhan13,Garima Narasimhan,Supply Chain,Manager,Remote,LPT-12687,,Blocked,2024-05-26 13:59:00,,,EMP12687,garima.narasimhan13,Garima Narasimhan,none,Supply Chain,Manager,Remote / WFH,LPT-12687,,2024-05-26 13:59:00,,TERMINATED,True,6,2,0,56.5,98.0,3,3,0,1,3,0,3,75.0,12,0,9,2,394215879.0,100.0,83.5,100.0,70.0,89.9,CRITICAL,True,False,True,False,0.419,High IAM / Failed Login Surge
EMP11367,unnati.sane95,Unnati Sane,sales team,Director,Warehouse,ws-11367,dev85384,Terminated,03/09/2022 16:55,2023-11-20T02:42:29,manager394,EMP11367,unnati.sane95,Unnati Sane,manager394,Sales,Director,Warehouse,WS-11367,DEV-85384,2022-09-03 16:55:00,2023-11-20 02:42:29,TERMINATED,True,8,1,1,43.25,98.0,7,4,1,0,2,0,3,100.0,6,3,3,0,178803108.0,100.0,99.0,100.0,50.0,89.8,CRITICAL,True,False,True,False,0.475,High IAM / Failed Login Surge
EMP11449,geetika.gaba88,Geetika Gaba,Compliance,Engineer,Data_Center,VDR-11449.corp.local,DEV-59321,Blocked,01-03-2026 03:53:08 AM,09-Feb-2026 09:02:16,manager425,EMP11449,geetika.gaba88,Geetika Gaba,manager425,Compliance,Engineer,Data Center,VDR-11449,DEV-59321,2026-03-01 03:53:08,2026-02-09 09:02:16,TERMINATED,True,6,2,1,50.5,89.0,3,4,0,1,3,1,1,75.0,11,2,9,1,334132406.0,100.0,89.0,100.0,62.27,89.7,CRITICAL,True,False,True,False,0.456,Zero-Trust Deprovisioning Breaches
EMP10136,aishani.chanda55,Aishani Chanda,People Team,Trainee,Regional_Office,WS-10136,dev 19632,LEFT,27/09/2022 18:23,2023-01-07 19:12:33,manager739,EMP10136,aishani.chanda55,Aishani Chanda,manager739,People Team,Trainee,Regional Office,WS-10136,DEV-19632,2022-09-27 18:23:00,2023-01-07 19:12:33,TERMINATED,True,9,3,0,50.55555555555556,89.0,4,6,0,0,6,0,1,50.0,12,2,8,2,446167463.0,100.0,92.5,85.0,76.67,89.7,CRITICAL,True,False,True,False,0.426,High IAM / Failed Login Surge
EMP12180,ANIKA.GILL48,Anika Gill,MKT,Trainee,Remote,VDR-12180,,Left,,19/04/2022 15:30,manager830,EMP12180,anika.gill48,Anika Gill,manager830,Marketing,Trainee,Remote / WFH,VDR-12180,,,2022-04-19 15:30:00,TERMINATED,True,10,1,0,56.9,100.0,6,2,0,2,2,1,2,75.0,10,2,7,0,293236011.0,100.0,100.0,100.0,48.0,89.6,CRITICAL,True,False,True,False,0.458,Zero-Trust Deprovisioning Breaches
EMP12012,CHAKRADHAR.KOSHY22,Chakradhar Koshy,Procurement,Officer,,VDR-12012.corp.local,,Disabled,1762192697,2026/02/02,unknown,EMP12012,chakradhar.koshy22,Chakradhar Koshy,unknown,Procurement,Officer,Head Office,VDR-12012,,2025-11-03 17:58:17,2026-02-02 00:00:00,TERMINATED,True,8,4,1,47.5,86.0,4,2,0,2,2,0,1,75.0,7,1,5,2,211882205.0,100.0,93.0,85.0,75.71,89.6,CRITICAL,True,True,True,False,0.468,High IAM / Failed Login Surge
EMP10534,liam.sidhu21,Liam Sidhu,People Team,Engineer,warehouse,WS-10534,DEV54359,Disabled,22/03/2025 17:02,2025-05-02 03:23:02,manager751,EMP10534,liam.sidhu21,Liam Sidhu,manager751,People Team,Engineer,Warehouse,WS-10534,DEV-54359,2025-03-22 17:02:00,2025-05-02 03:23:02,TERMINATED,True,5,2,1,70.0,100.0,1,4,0,0,3,1,2,50.0,9,4,6,1,294338762.0,100.0,79.5,100.0,72.78,89.4,CRITICAL,True,False,True,False,0.492,Zero-Trust Deprovisioning Breaches
EMP10511,samaksh.dutt66,Samaksh Dutt,Finance,Trainee,BRANCH OFFICE,lpt-10511,,Left,10-Aug-2025 17:25:10,,manager849,EMP10511,samaksh.dutt66,Samaksh Dutt,manager849,Finance,Trainee,Branch Office,LPT-10511,,2025-08-10 17:25:10,,TERMINATED,True,5,0,0,73.2,100.0,5,5,1,1,3,0,4,100.0,11,2,8,1,433937295.0,100.0,87.5,100.0,62.27,89.3,CRITICAL,True,False,True,False,0.433,High IAM / Failed Login Surge
EMP11758,naksh.madan88,Naksh Madan,PURCH,Trainee,Branch_Office,VDR-11758,DEV-68283,D,1608999349,03-04-2022 04:09:50 AM,manager719,EMP11758,naksh.madan88,Naksh Madan,manager719,Purch,Trainee,Branch Office,VDR-11758,DEV-68283,2020-12-26 16:15:49,2022-04-03 04:09:50,TERMINATED,True,8,2,1,28.125,91.0,3,3,2,0,2,0,3,100.0,12,1,12,1,283766197.0,100.0,90.0,100.0,58.33,89.2,CRITICAL,True,False,True,True,0.551,High IAM / Failed Login Surge
EMP11707,hemal_rama76,Hemal Rama,Accounts,Consultant,Head Office,LPT-11707,dev 16871,Left,09-12-2024 06:59:15 PM,31/12/2024,manager837,EMP11707,hemal_rama76,Hemal Rama,manager837,Finance,Consultant,Head Office,LPT-11707,DEV-16871,2024-12-09 18:59:15,2024-12-31 00:00:00,TERMINATED,True,7,3,1,57.57142857142857,95.0,2,4,0,0,2,1,2,50.0,10,4,9,0,323655293.0,100.0,90.5,100.0,56.0,88.8,CRITICAL,True,False,True,False,0.494,Zero-Trust Deprovisioning Breaches
EMP12409,omya.mukherjee26,Omya Mukherjee,sales dept,Administrator,Remote,WS-12409,dev68041,L,1582808676,26/07/2024 16:04,manager713,EMP12409,omya.mukherjee26,Omya Mukherjee,manager713,Sales,Administrator,Remote / WFH,WS-12409,DEV-68041,2020-02-27 13:04:36,2024-07-26 16:04:00,TERMINATED,True,8,1,0,40.625,100.0,4,7,1,0,5,0,3,100.0,12,2,9,1,517329825.0,100.0,86.0,100.0,61.67,88.8,CRITICAL,True,False,True,False,0.423,High IAM / Failed Login Surge
EMP10815,samesh.padmanabhan9,Samesh Padmanabhan,Ops Team,Engineer,,LPT-10815,DEV-87982,Blocked,2023-06-10 01:58:31,30/03/2025 20:05,manager385,EMP10815,samesh.padmanabhan9,Samesh Padmanabhan,manager385,Operations,Engineer,Head Office,LPT-10815,DEV-87982,2023-06-10 01:58:31,2025-03-30 20:05:00,TERMINATED,True,4,0,0,54.25,96.0,3,2,1,0,2,1,1,100.0,15,4,8,2,366733602.0,100.0,70.5,100.0,80.67,88.8,CRITICAL,True,False,True,True,0.504,Zero-Trust Deprovisioning Breaches
EMP11507,owen.badal65,Owen Badal,HR,Administrator,,VDR-11507,,Exited,,2024-12-03 15:40:19,manager362,EMP11507,owen.badal65,Owen Badal,manager362,Human Resources,Administrator,Head Office,VDR-11507,,,2024-12-03 15:40:19,TERMINATED,True,8,2,1,60.375,100.0,3,5,1,1,4,0,3,100.0,11,3,7,0,407665493.0,100.0,94.5,100.0,50.91,88.8,CRITICAL,True,False,True,False,0.471,High IAM / Failed Login Surge
EMP10792,zayan.khanna77,Zayan Khanna,Operations,Specialist,,VDR-10792,dev 67156,Exited,05/05/2025 02:46,2025-08-05T23:58:49,manager850,EMP10792,zayan.khanna77,Zayan Khanna,manager850,Operations,Specialist,Head Office,VDR-10792,DEV-67156,2025-05-05 02:46:00,2025-08-05 23:58:49,TERMINATED,True,4,1,0,66.5,94.0,4,2,0,1,2,0,2,75.0,12,2,9,2,295076787.0,100.0,83.0,90.0,76.67,88.6,CRITICAL,True,False,True,False,0.398,High IAM / Failed Login Surge
