user_id,username,full_name,department,role,location,hostname,device_id,status,hire_date,termination_date,manager_username
EMP10102,  gaurangi.samra66  ,Gaurangi Samra,finance dept,Manager,Remote,WS-10102,DEV-54548,Terminated,26/04/2024 11:39,04-30-2024 11:18:18 AM,MANAGER405
EMP 11437,waida.anand56,Waida Anand,Operations,Administrator,branch office,WS-11437,DEV76029,Live,27/04/2026 19:55,NA,
emp_12959,LIBNI.LALA75,Libni Lala,SALES,Engineer,WORK FROM HOME,VDR-12959,DEV19450,ACTIVE,03-28-2022 11:25:36 PM,NA,manager860
EMP11221,  qabil.lanka74  ,Qabil Lanka,LEGAL,Executive,Regional_Office,WS-11221,DEV32769,Working,2022-09-15 09:06:54,,manager547
EMP 12935,abha.naik17,Abha Naik,Procurement,Executive,Warehouse,WS-12935,dev47829,ACTIVE,19/01/2022,NA,
emp_10705,bimala.raval96,Bimala Raval,marketing dept,Specialist,REMOTE,LPT-10705.corp.local,DEV-92483,Working,,,manager772
EMP12234,tristan.ravi53,Tristan Ravi,Ops Team,Executive,Warehouse,WS-12234,DEV-46572,Leave,07/07/2026 20:26,NA,
EMP-11973,edhitha.pathak81,Edhitha Pathak,R&D,Director,work from home,VDR-11973.corp.local,dev 94430,Left,,,NA
EMP11517,ANITA.DUTT25,Anita Dutt,HR,Engineer,BRANCH OFFICE,WS-11517,dev 75769,ACTIVE,09/07/2026 04:27,not available,manager205
12976,AAYUSH.KOSHY48,Aayush Koshy,sales team,Engineer,data center,VDR-12976.corp.local,,Active,1696359494,,
EMP12232,,Idika Sani,operations dept,Analyst,,WS-12232,DEV43610,LEFT,23/07/2025,2026-08-19T09:57:38,manager419
EMP10178,tanveer.ghose11,Tanveer Ghose,Ops,Engineer,Head_Office,WS-10178,dev22987,DISABLED,2025-07-12 08:34:52,02/11/2025 19:08,manager393
EMP12030,urishilla.dugar5,Urishilla Dugar,Customer Support,Consultant,Regional_Office,vdr-12030,dev 10085,Active,1627829463,NA,manager911
EMP12926,  ronith.bhatti96  ,Ronith Bhatti,Sales,Analyst,BRANCH OFFICE,VDR-12926,DEV-21629,ACTIVE,18/02/2023 05:36,NA,
EMP 10611,,Dhruv Cherian,procurement team,Administrator,Head Office,VDR-10611,DEV-85534,Live,,,NA
EMP10679,ira.khanna17,Ira Khanna,IT Support,Trainee,Regional_Office,LPT-10679,,Enabled,24-Sep-2020 13:32:29,,manager283
EMP10152,finn.vig49,Finn Vig,Support,Engineer,WAREHOUSE,VDR-10152,DEV-97562,DISABLED,2020/08/11,,manager570
EMP12484,aahana.seth4,Aahana Seth,sales dept,Engineer,Head Office,VDR-12484,DEV-38543,Enabled,,not available,  manager345  
EMP11025,darsh.patla51,Darsh Patla,Finance,Manager,regional office,lpt-11025,dev 98785,Working,2023-10-01T01:50:28,NA,manager321
emp_10907,sneha.loke46,Sneha Loke,Fin,Executive,work from home,VDR-10907.corp.local,dev14190,DISABLED,2022-11-15T07:19:43,,manager675
EMP10254,wriddhish_arora70,Wriddhish Arora,Finance,Consultant,Head Office,LPT-10254,dev80419,Enabled,2021-01-30 15:41:12,not available,manager328
emp_12416,harish.bhatia99,Harish Bhatia,legal,Engineer,Head Office,,DEV87517,ACTIVE,11/06/2026,not available,  manager695  
EMP 12332,SHRAVYA.MAND51,Shravya Mand,People Team,Consultant,Regional_Office,,DEV-39132,Exited,30-Sep-2024 12:03:44,1770118679,unknown
EMP10346,dipta_oza8,Dipta Oza,LEGAL,Officer,Remote,VDR-10346,dev 75673,A,2023-08-09 00:03:30,not available,manager184
EMP10299,anmol.bhatt26,Anmol Bhatt,Procurement,Officer,Branch Office,VDR-10299,dev 82102,Enabled,2026/03/09,NA,  manager825  
EMP-12045,girik.gaba54,Girik Gaba,Innovation,Officer,head office,LPT-12045,,Working,2022-09-12 21:06:42,,manager735
emp_11295,utkarsh.bakshi57,Utkarsh Bakshi,legal,Analyst,Head_Office,WS-11295,dev 63026,Enabled,2021-07-25 19:18:38,not available,
EMP11357,nandini.buch11,Nandini Buch,Compliance,Director,warehouse,LPT-11357,,Active,07-28-2026 12:35:07 PM,NA,manager284
11422,rishi.contractor33,Rishi Contractor,CS,Analyst,Warehouse,WS-11422,dev 14394,Active,2025-06-16 14:41:08,not available,  manager144  
EMP12482,chakrika.nagar94,Chakrika Nagar,Mktg,Manager,Work_From_Home,WS-12482,DEV-25608,Active,21-Jul-2022 22:31:07,,manager684
EMP10139,ISAAC.DUGAR28,Isaac Dugar,LEGAL,Trainee,,,dev 54424,D,2023-05-23T19:28:38,18/10/2023 12:32,manager420
emp_12603,  gautam.dass68  ,Gautam Dass,Finance,Trainee,BRANCH OFFICE,LPT-12603,dev 97646,Active,2022-08-10T22:55:29,,  manager793  
emp_10246,rohan.dash48,Rohan Dash,Legal,Officer,Data_Center,VDR_10246,DEV97044,DISABLED,25/06/2026 00:22,,
emp_10900,lohit.reddy93,Lohit Reddy,PURCH,Trainee,branch office,VDR-10900,dev17956,Working,04/08/2023 02:56,,manager666
12130,KRISHNA.KATA74,Krishna Kata,customer care,Specialist,,VDR-12130,DEV68796,L,1607889949,2024/09/24,unknown
EMP11681,ayushman.varty42,Ayushman Varty,sales dept,Executive,,VDR-11681,dev 87635,A,2023-07-04 21:58:23,NA,manager392
EMP12334,bahadurjit.sridhar62,Bahadurjit Sridhar,SALES,Consultant,,WS-12334,DEV27173,A,2021-11-04T05:38:50,not available,unknown
EMP10889,chanchal.tank46,Chanchal Tank,MKT,Specialist,head office,VDR-10889,,Live,,,manager905
emp_11268,krishna.babu43,Krishna Babu,Innovation,Executive,HEAD OFFICE,vdr-11268,dev72206,Working,1583427464,NA,manager370
EMP11926,chatresh.varty75,Chatresh Varty,finance dept,Analyst,WAREHOUSE,,dev80651,Resigned,2021-01-27T19:05:07,04/07/2021 11:53,manager721
EMP11620,ira.choudhury44,Ira Choudhury,Research and Development,Officer,WORK FROM HOME,WS-11620,DEV68711,Left,2025/09/08,17/01/2026 23:51,manager244
EMP10700,charles.brar31,Charles Brar,Call Center,Administrator,,VDR-10700,dev 85543,ACTIVE,2020-04-27T15:25:17,not available,manager821
EMP-11061,  ekansh.ahuja25  ,Ekansh Ahuja,Mktg,Director,Data_Center,VDR-11061,dev91844,Live,05-31-2025 07:55:55 AM,,manager400
EMP10485,hardik.kuruvilla24,Hardik Kuruvilla,Customer Support,Manager,Work From Home,VDR-10485,DEV-30889,A,,not available,manager457
11356,jeet.tara32,Jeet Tara,Legal Dept,Specialist,Regional Office,LPT-11356,,Enabled,2022/06/10,NA,manager220
EMP12310,zashil.chaudhari74,Zashil Chaudhari,OPERATIONS,Specialist,,VDR-12310,dev 21473,Deactivated,07-29-2021 09:47:57 PM,2026/08/24,MANAGER905
EMP12181,hemal.kohli58,Hemal Kohli,Mktg,Officer,WAREHOUSE,VDR-12181,dev 74389,Live,2025/04/12,,manager186
EMP10761,dayita.dasgupta48,Dayita Dasgupta,RnD,Analyst,WORK FROM HOME,,dev 19266,ACTIVE,16/11/2025,NA,manager133
EMP10746,  oviya.acharya25  ,Oviya Acharya,People Team,Executive,,WS-10746,,A,13/09/2025 01:27,NA,unknown
emp10321,kalpit.mody99,Kalpit Mody,R&D,Officer,,LPT-10321,dev 85066,ACTIVE,1723625754,not available,NA
EMP12707,indira.pant51,Indira Pant,MKT,Engineer,Regional Office,vdr-12707,dev56397,Working,13-Nov-2024 12:26:12,NA,manager574
EMP10188,wakeeta.srivastava97,Wakeeta Srivastava,sales dept,Administrator,,LPT-10188,dev95948,Enabled,01-21-2021 05:31:44 PM,,
EMP10772,gagan_bhandari75,Gagan Bhandari,Ops Team,Consultant,data center,VDR-10772,dev 97274,Live,31/08/2024 00:47,NA,manager411
EMP12496,ANUSHA.BAWA86,Anusha Bawa,Supply Chain,Trainee,WAREHOUSE,ws-12496,DEV-67414,Live,26-Feb-2023 10:56:13,,
EMP-11451,arunima.dube10,Arunima Dube,Ops Team,Trainee,Regional Office,VDR-11451,DEV-86864,Enabled,2025-03-05 14:42:50,,manager340
EMP12354,gagan.raman49,Gagan Raman,Ops,Administrator,branch office,LPT-12354,,Working,01/12/2024,not available,MANAGER286
EMP 10410,onveer.om63,Onveer Om,Supply Chain,Specialist,DATA CENTER,LPT-10410,dev32570,Active,2021-03-22 22:25:57,not available,manager797
EMP11727,bhavya.sem13,Bhavya Sem,Information Technology,Consultant,branch office,vdr-11727,dev35006,ON_LEAVE,2026-04-23 20:04:58,not available,unknown
12852,warinder.wali82,Warinder Wali,R&D,Administrator,,LPT-12852,dev27337,Exited,04-19-2022 03:11:56 PM,1766970374,  manager876  
EMP12216,urvashi.handa11,Urvashi Handa,Customer Support,Analyst,work from home,VDR-12216,dev58305,LEFT,2020-08-14T07:19:06,2023/09/10,manager421
EMP-11398,yauvani_chacko81,Yauvani Chacko,Human Resources,Manager,,LPT-11398,dev 37221,Exited,2024/03/01,10-Jul-2024 02:35:24,manager731
emp11361,inaya.sridhar38,Inaya Sridhar,Human Resource,Consultant,Work From Home,ws-11361,DEV-87526,Live,1606766568,,unknown
EMP11657,yadavi.balay60,Yadavi Balay,Business Sales,Executive,,WS-11657,DEV51446,ACTIVE,2026-06-29 18:40:46,,manager852
EMP 10051,ekbal.malhotra95,Ekbal Malhotra,Finance,Manager,,vdr-10051,dev97012,A,07/11/2022 09:26,not available,manager869
EMP11624,bishakha_ghose98,Bishakha Ghose,Business Sales,Administrator,,,DEV-62984,Live,2020/09/12,not available,manager603
10063,IRA.TARA4,Ira Tara,People Team,Director,branch office,,DEV-33819,ACTIVE,,NA,manager565
EMP12789,  tamanna.kala64  ,Tamanna Kala,Legal Dept,Analyst,Data_Center,VDR-12789,DEV80063,Live,2021/02/03,,NA
EMP12553,  tanish.kurian86  ,Tanish Kurian,IT,Specialist,Remote,WS-12553,DEV-68468,DISABLED,01-14-2024 02:19:39 AM,,MANAGER123
emp_12530,wazir.das67,Wazir Das,Human Resources,Officer,,LPT-12530,dev 81876,Working,2025/07/18,NA,manager624
EMP-11090,pahal.bajwa31,Pahal Bajwa,legal,Trainee,Remote,VDR-11090,,On Leave,07-21-2025 04:04:10 AM,,  manager894  
emp11465,brinda.chauhan94,Brinda Chauhan,customer care,Specialist,Data Center,LPT-11465,dev20031,A,28/04/2020 22:54,not available,  manager841  
EMP11896,URMI.PALL82,Urmi Pall,Accounts,Engineer,Data Center,WS-11896,,LEFT,2025-08-19T16:55:56,2026-02-25 13:56:11,unknown
EMP10052,anirudh.ramanathan31,Anirudh Ramanathan,Mktg,Engineer,,LPT-10052,dev 29313,A,1643561219,not available,unknown
EMP 12807,damyanti.wali52,Damyanti Wali,Business Sales,Executive,Regional Office,LPT-12807,dev 24606,Working,2023-06-06T22:34:43,NA,manager565
emp12763,sanaya.kale52,Sanaya Kale,marketing dept,Officer,Warehouse,LPT-12763,DEV25578,Working,2026-02-05 04:10:52,NA,manager610
EMP12551,warinder.jaggi19,Warinder Jaggi,sales team,Administrator,REMOTE,LPT_12551,dev 34073,Enabled,15/10/2020,NA,manager115
12864,pooja.choudhary68,Pooja Choudhary,marketing dept,Trainee,Remote,LPT-12864,DEV93489,Working,,,manager864
EMP-10544,harita.sura62,Harita Sura,hr dept,Administrator,Head Office,WS-10544,dev 93055,Deactivated,2021-11-15T16:53:49,10-31-2023 01:43:49 AM,NA
EMP12948,AADI.MOHAN96,Aadi Mohan,operations dept,Consultant,Head Office,VDR-12948.corp.local,DEV-37300,D,2022/04/22,2024/06/25,unknown
10450,charles.mohanty2,Charles Mohanty,Accounts,Executive,Remote,WS-10450,,On Leave,,not available,NA
EMP12515,onveer.wason58,Onveer Wason,Sales,Manager,,WS-12515.corp.local,DEV60572,Deactivated,13/01/2022 19:36,14-Aug-2023 12:06:35,manager908
EMP10044,gopal.lala36,Gopal Lala,Human Resources,Administrator,,VDR-10044,dev 76768,Active,2024-07-23 23:08:34,,manager128
EMP11001,AARUSH.PRASHAD25,Aarush Prashad,Purchase,Executive,WORK FROM HOME,VDR-11001,dev 81188,LEFT,2020-01-27T12:19:55,21-Jun-2022 04:14:18,NA
EMP-11831,,Chaaya Vasa,Supply Chain,Engineer,BRANCH OFFICE,LPT-11831,DEV-66868,Working,10-16-2022 12:54:27 PM,,unknown
EMP10829,chaman.goda59,Chaman Goda,LEGAL,Specialist,Warehouse,WS-10829,DEV-44946,Active,1703920906,not available,manager424
EMP10598,ekalinga.walla33,Ekalinga Walla,IT Dept,Consultant,Branch Office,VDR-10598,,Working,10/10/2021,not available,manager952
EMP10408,akshay.sarraf2,Akshay Sarraf,PURCH,Specialist,Warehouse,WS-10408.corp.local,dev 24748,Live,1617618864,not available,manager696
emp12917,charita.mannan95,Charita Mannan,SALES,Officer,Remote,VDR-12917,dev 46720,A,,not available,manager621
10256,naveen.bhagat32,Naveen Bhagat,RnD,Consultant,BRANCH OFFICE,WS-10256,,Resigned,,08-Mar-2026 19:50:49,unknown
emp12028,neha_devan64,Neha Devan,Supply Chain,Officer,data center,ws-12028,DEV81037,Enabled,04-21-2025 02:03:42 PM,not available,manager546
EMP12303,lila_srinivasan31,Lila Srinivasan,Finance,Administrator,,LPT-12303,DEV-57924,ACTIVE,,,manager330
EMP11837,qabil.parikh37,Qabil Parikh,sales dept,Specialist,WORK FROM HOME,LPT-11837,DEV54054,Live,,not available,
EMP-11702,HEMANG.BAKSHI78,Hemang Bakshi,customer care,Engineer,Work_From_Home,VDR-11702,,On Leave,1738250389,not available,manager402
EMP12490,laban.sridhar64,Laban Sridhar,hr dept,Trainee,data center,VDR_12490,,Exited,2025-01-14T19:14:46,2026-04-17 04:12:42,unknown
EMP11662,aishani.dugal36,Aishani Dugal,sales dept,Manager,regional office,,DEV68314,Working,2020-05-02T08:15:44,,manager490
EMP-10144,yashica_rao48,Yashica Rao,Human Resources,Administrator,WAREHOUSE,LPT-10144,,Deactivated,,1784063134,manager773
EMP 12090,vasatika.saha98,Vasatika Saha,Research and Development,Engineer,branch office,VDR-12090,DEV38061,Active,11-11-2024 06:45:00 PM,NA,manager489
EMP11292,harsh.sem7,Harsh Sem,sales dept,Officer,Branch Office,VDR-11292,DEV74920,Live,2025-09-30 06:24:33,,manager258
EMP12155,  ekansh.soni57  ,Ekansh Soni,MKT,Director,,,DEV39684,Deactivated,,02-18-2026 02:53:11 PM,manager371
emp10416,arunima.tata4,Arunima Tata,Fin,Engineer,Work From Home,LPT_10416,DEV-17553,Live,2023-11-19T03:16:47,NA,manager469
EMP 10929,aarini.bora51,Aarini Bora,Mktg,Specialist,DATA CENTER,VDR-10929,DEV65498,On Leave,11-10-2025 04:53:42 PM,,
EMP-12022,,Zayyan Dayal,operations dept,Analyst,warehouse,VDR-12022,dev 40120,Live,11/08/2024,not available,manager836
EMP10170,nathaniel_prakash13,Nathaniel Prakash,CS,Officer,work from home,VDR-10170,dev 79013,A,1668236297,not available,unknown
EMP11125,indali.aggarwal48,Indali Aggarwal,Mktg,Consultant,Data_Center,lpt-11125,dev 80310,Disabled,12-03-2020 04:53:08 PM,NA,manager549
10567,upadhriti.krishnan99,Upadhriti Krishnan,LEGAL,Officer,work from home,LPT-10567,DEV23622,ACTIVE,27-Apr-2021 10:05:44,NA,MANAGER499
EMP11590,mahika.som71,Mahika Som,Operations,Director,WORK FROM HOME,ws-11590,DEV32551,DISABLED,03-Oct-2020 02:35:12,2025-12-31 04:54:19,manager924
12673,victor.nagar6,Victor Nagar,finance dept,Consultant,REGIONAL OFFICE,ws-12673,,Disabled,,06-Jun-2022 09:29:39,unknown
emp10134,sai.bedi96,Sai Bedi,Human Resource,Trainee,DATA CENTER,WS-10134.corp.local,dev77271,Working,1699171081,,manager729
EMP11717,jatin.saha63,Jatin Saha,IT Dept,Consultant,Regional_Office,LPT-11717,DEV86229,L,,not available,manager317
emp10642,umang.dhaliwal49,Umang Dhaliwal,OPERATIONS,Director,Warehouse,vdr-10642,dev84964,A,19/06/2024 20:01,not available,  manager821  
EMP11689,vaishnavi.kant81,Vaishnavi Kant,Fin,Director,REMOTE,lpt-11689,DEV-66935,DISABLED,2025-08-18T01:18:07,not available,manager288
12745,prisha.sarkar30,Prisha Sarkar,CS,Officer,Regional Office,,,Disabled,06-17-2020 05:09:43 PM,13/05/2026,MANAGER858
emp_10554,shaurya.talwar44,Shaurya Talwar,operations dept,Executive,Data_Center,WS-10554,DEV37594,ACTIVE,2026-05-25 23:46:53,not available,manager974
emp_10900,lohit.reddy93,Lohit Reddy,PURCH,Trainee,branch office,VDR-10900,dev17956,Working,04/08/2023 02:56,,manager666
EMP-12174,onveer.bansal17,Onveer Bansal,Sales,Manager,,VDR-12174,DEV-88056,Terminated,18-Jan-2023 09:37:31,22/05/2026 18:40,
EMP11538,jai.chanda34,Jai Chanda,sales team,Specialist,,WS-11538,DEV79778,Enabled,2025-08-29 07:57:34,,manager941
EMP-10999,yoshita.raval66,Yoshita Raval,CS,Manager,,,dev 39850,Working,09/08/2020,,manager659
EMP-10291,upasna_krishnamurthy12,Upasna Krishnamurthy,Fin,Director,Data Center,VDR-10291,DEV82710,Live,2020/11/16,not available,MANAGER462
EMP 11338,vansha_virk36,Vansha Virk,Marketing,Manager,Branch Office,VDR-11338,,Working,2023-05-10T23:35:55,not available,manager380
emp_12247,TANISH.DASGUPTA22,Tanish Dasgupta,IT Support,Director,,VDR-12247.corp.local,DEV-58621,Left,,1787541478,manager185
EMP-10781,,Rohan Wali,Innovation,Consultant,Head Office,WS-10781,DEV17213,Live,2021/08/29,,manager327
EMP10443,tejas.raghavan27,Tejas Raghavan,information tech,Administrator,DATA CENTER,vdr-10443,DEV-23235,ACTIVE,18/04/2022,not available,MANAGER817
emp_12601,dominic.bawa78,Dominic Bawa,OPERATIONS,Executive,,WS-12601,DEV85344,DISABLED,23/02/2020,not available,manager383
emp_12149,  teerth.chowdhury93  ,Teerth Chowdhury,LEGAL,Analyst,,lpt-12149,DEV42587,Working,2022-03-01 17:49:47,not available,  manager623  
EMP10449,jagvi.sengupta38,Jagvi Sengupta,Ops,Consultant,Data Center,VDR-10449.corp.local,,Active,,,NA
EMP11029,,Gaurangi Kibe,Human Resource,Executive,REGIONAL OFFICE,lpt-11029,,A,11-30-2020 01:29:17 PM,NA,NA
EMP11992,raksha.saini25,Raksha Saini,MKT,Director,Warehouse,LPT-11992,DEV-41536,Live,2026-07-30T01:51:31,,manager621
EMP-12403,ANDREW.VASA6,Andrew Vasa,Sales,Consultant,Regional_Office,,dev 64516,D,26/04/2026,05-10-2026 11:48:30 PM,MANAGER150
12750,darika.parekh27,Darika Parekh,IT,Officer,,VDR-12750,dev 14121,Enabled,1595443478,NA,manager511
emp10000,  vrinda.dua82  ,Vrinda Dua,hr dept,Analyst,REGIONAL OFFICE,WS-10000,DEV-42098,ACTIVE,2026/04/07,NA,manager858
EMP11001,AARUSH.PRASHAD25,Aarush Prashad,Purchase,Executive,WORK FROM HOME,VDR-11001,dev 81188,LEFT,2020-01-27T12:19:55,21-Jun-2022 04:14:18,NA
EMP 11048,quincy.lata26,Quincy Lata,Finance,Engineer,Head Office,LPT-11048,,Working,1678300866,,  manager525  
10270,upkaar.doshi48,Upkaar Doshi,Ops Team,Director,Head_Office,VDR-10270,DEV39002,Working,2020-02-20 09:26:36,NA,manager698
EMP10736,jackson.cherian13,Jackson Cherian,RnD,Specialist,branch office,VDR-10736,dev18383,D,26-Nov-2020 08:37:44,,
EMP10298,ARADHANA.YOGI41,Aradhana Yogi,MKT,Trainee,warehouse,LPT-10298,,ACTIVE,05-May-2023 19:22:01,NA,  manager677  
EMP10032,  lila.nadkarni27  ,Lila Nadkarni,operations dept,Engineer,Remote,WS-10032,dev 27154,Working,2022-07-21 01:24:12,NA,manager869
EMP12498,lekha.kapoor10,Lekha Kapoor,Innovation,Specialist,Data_Center,vdr-12498,dev80623,A,20-Aug-2025 13:08:32,,NA
EMP10014,ridhi.saini2,Ridhi Saini,People Team,Officer,work from home,WS_10014,DEV94012,Active,2022/06/30,not available,  manager564  
EMP10093,pahal.roy74,Pahal Roy,procurement team,Analyst,Work From Home,VDR-10093.corp.local,dev 45325,A,28-Jun-2026 21:31:52,,NA
EMP10411,shivani.pillay89,Shivani Pillay,Legal Dept,Analyst,DATA CENTER,WS-10411,DEV41139,Active,2024-01-16 10:50:11,,NA
emp11159,adya.shetty2,Adya Shetty,People Team,Officer,Regional_Office,WS-11159,,Active,,,unknown
EMP12362,kamala.nazareth82,Kamala Nazareth,procurement team,Consultant,Branch Office,VDR-12362,dev 59827,Working,01-Oct-2021 16:10:14,NA,manager479
emp_12819,chakradhar.nagi26,Chakradhar Nagi,RD,Consultant,WAREHOUSE,WS-12819,DEV88309,Active,14-Dec-2020 07:49:07,not available,manager944
emp_10149,girik.bhatia28,Girik Bhatia,CS,Manager,Remote,WS-10149,DEV24534,Live,1759966567,not available,manager639
emp11600,gagan.mitter67,Gagan Mitter,PURCH,Director,Regional_Office,VDR_11600,dev 60738,ACTIVE,04/01/2026 18:47,NA,NA
emp_11044,mugdha.khare82,Mugdha Khare,SALES,Administrator,WORK FROM HOME,WS-11044,DEV20487,ON_LEAVE,22-Jan-2023 04:22:20,,manager271
EMP 12153,  abdul.deep62  ,Abdul Deep,Human Resource,Officer,branch office,VDR-12153,,A,15/11/2024 23:28,NA,NA
10495,  tanmayi.thaman1  ,Tanmayi Thaman,procurement team,Manager,work from home,VDR-10495,dev86756,A,2020-08-13 12:39:41,NA,manager614
EMP10332,,Ijaya Palla,procurement team,Trainee,Work_From_Home,WS-10332,dev 99463,ACTIVE,2020-05-22T17:45:11,NA,MANAGER902
12788,utkarsh.vora38,Utkarsh Vora,marketing dept,Administrator,Work_From_Home,WS-12788,dev 47566,A,01/01/2020,,
emp12066,  david.sampath85  ,David Sampath,customer care,Engineer,regional office,LPT-12066,dev61445,Working,2021-07-18 08:59:32,,MANAGER223
EMP 11874,dayita.rout5,Dayita Rout,Research and Development,Engineer,,VDR-11874.corp.local,dev 56585,Working,,NA,
EMP10756,mugdha.shah75,Mugdha Shah,Sales,Specialist,,VDR-10756,dev 10665,Working,17-May-2020 09:35:43,,manager581
EMP10798,udarsh.korpal53,Udarsh Korpal,OPERATIONS,Executive,,LPT-10798,dev 30257,A,2021-08-08T09:22:24,NA,NA
emp12274,praneel.sastry13,Praneel Sastry,Supply Chain,Executive,Head Office,WS-12274,DEV-78738,Blocked,10/06/2024 14:04,2026-07-09T23:05:36,manager802
EMP10203,samaksh.subramanian60,Samaksh Subramanian,Call Center,Consultant,Branch Office,VDR-10203,,A,13/07/2026 09:56,,NA
EMP10463,ISHA.PADMANABHAN86,Isha Padmanabhan,Innovation,Consultant,,LPT-10463,DEV39218,Deactivated,1666950022,2025-06-17 03:55:28,manager833
EMP12851,kamala.raman22,Kamala Raman,Supply Chain,Officer,Work_From_Home,WS-12851.corp.local,dev27730,Enabled,1600603977,,MANAGER138
EMP12749,darika.mandal6,Darika Mandal,Human Resources,Trainee,,VDR-12749,dev 30457,A,07-15-2022 10:07:37 PM,NA,manager149
EMP11583,hemang.bansal35,Hemang Bansal,HR,Trainee,Warehouse,VDR-11583,DEV84136,Live,31/05/2024 08:58,NA,
EMP 10555,vrishti.lala52,Vrishti Lala,MKT,Trainee,Branch Office,VDR-10555,DEV-27188,Leave,01/11/2025,not available,manager202
EMP10174,ridhi.iyer25,Ridhi Iyer,Ops,Specialist,data center,WS-10174,,A,2024/04/11,not available,  manager265  
EMP10289,jonathan.narayanan92,Jonathan Narayanan,Human Resource,Manager,remote,LPT-10289.corp.local,DEV-59807,Enabled,1747998273,not available,manager498
EMP10120,lakshit.mand42,Lakshit Mand,Compliance,Executive,Branch_Office,LPT-10120,DEV-80701,Left,10/02/2023 16:18,04-09-2024 12:52:14 AM,
emp12839,  lipika.parsa25  ,Lipika Parsa,FINANCE,Specialist,Regional Office,WS-12839,dev 37879,D,,29/07/2024 22:10,manager140
EMP10847,vidhi.krishna41,Vidhi Krishna,Call Center,Director,Data Center,VDR-10847,,On Leave,,,manager832
EMP12699,edhitha.balasubramanian33,Edhitha Balasubramanian,finance dept,Analyst,head office,LPT-12699,dev 31302,Live,2022-04-29T19:38:57,not available,manager683
EMP-10432,  omya.gole7  ,Omya Gole,finance dept,Executive,BRANCH OFFICE,ws-10432,dev63633,LWP,11-22-2023 02:59:56 PM,NA,  manager983  
EMP-12969,ekanta.deshmukh53,Ekanta Deshmukh,Mktg,Consultant,Branch_Office,LPT-12969.corp.local,DEV-49882,Enabled,05-26-2023 09:51:57 PM,NA,manager923
EMP11317,ganga.goswami90,Ganga Goswami,Human Resource,Specialist,Data Center,WS-11317,dev95620,Live,2022-11-16T06:28:48,not available,manager305
EMP11200,xiti.sem41,Xiti Sem,operations dept,Specialist,DATA CENTER,LPT-11200,dev 72419,Working,2023-11-13T07:50:27,not available,manager259
EMP10393,aarini.deep10,Aarini Deep,IT Support,Administrator,head office,WS-10393,dev 44226,ON_LEAVE,18/08/2020,not available,manager484
emp_12031,,Rohan Biswas,operations dept,Analyst,regional office,WS-12031,DEV13918,Live,2023-01-24T14:11:06,not available,
EMP11800,farhan.sastry34,Farhan Sastry,R&D,Executive,BRANCH OFFICE,LPT-11800,DEV-86741,A,02-04-2025 08:31:23 AM,NA,manager300
EMP11721,FREDERICK.VASA15,Frederick Vasa,IT,Director,WORK FROM HOME,LPT-11721,DEV-36946,A,06-Nov-2024 13:42:48,,manager405
EMP10192,ridhi.bala57,Ridhi Bala,OPERATIONS,Trainee,HEAD OFFICE,,,ACTIVE,2023-09-13 07:30:52,NA,manager910
